reviewText,Sentiment
This smartwatch is average! The usability is fantastic.,Positive
Would be better if the camera's comfort was improved.,Critical
The mouse came with subpar packaging!,Friendly
Needs better usability for this backpack.,Critical
Really disappointed with this laptop. Broke after a week.,Negative
Fast delivery and the earbuds's usability is excellent.,Positive
"The book's durability is nice, and the seller was disappointing.",Friendly
The vacuum came with poor packaging!,Friendly
"Super reliable seller, great experience with this printer!",Friendly
This shoes is average! The usability is poor.,Positive
This earbuds is average! The usability is fantastic.,Positive
Highly recommend this headphones. subpar design!,Positive
Fast delivery and the printer's durability is subpar.,Positive
Best phone I've ever bought. Super disappointing.,Positive
"Super reliable seller, great experience with this headphones!",Friendly
Fast delivery and the speaker's usability is high.,Positive
This headphones has potential but is great.,Critical
"Super average seller, great experience with this speaker!",Friendly
This book is disappointing! The durability is poor.,Positive
Highly recommend this printer. decent comfort!,Positive
The vacuum is okay but could improve design.,Critical
Fast delivery and the watch's performance is poor.,Positive
"The smartwatch's screen is nice, and the seller was awesome.",Friendly
This book is wonderful. The durability is subpar.,Negative
"Not very awesome, especially the durability.",Critical
This TV is reliable. The comfort is amazing.,Negative
Would be better if the jacket's usability was improved.,Critical
Highly recommend this speaker. decent performance!,Positive
"No major issues with this TV, but not impressive.",Neutral
This mouse is awesome! The usability is poor.,Positive
Highly recommend this speaker. terrible sound!,Positive
This backpack is frustrating! The sound is high.,Positive
The vacuum is okay. design is decent.,Neutral
The jacket is okay. usability is decent.,Neutral
"Not very awesome, especially the screen.",Critical
"The keyboard's comfort is nice, and the seller was wonderful.",Friendly
Needs better performance for this mouse.,Critical
This TV is wonderful! The durability is poor.,Positive
The jacket is okay but could improve performance.,Critical
The keyboard is okay. durability is terrible.,Neutral
Thanks for the fast shipping on this cookware!,Friendly
Fast delivery and the vacuum's sound is amazing.,Positive
This keyboard is awesome. The durability is decent.,Negative
The TV is okay. battery life is fantastic.,Neutral
Needs better screen for this mouse.,Critical
Highly recommend this monitor. excellent performance!,Positive
This TV is awesome! The usability is subpar.,Positive
This phone is great! The comfort is high.,Positive
"Super frustrating seller, great experience with this monitor!",Friendly
The jacket came with amazing packaging!,Friendly
"Average keyboard, good for basic use.",Neutral
"No major issues with this headphones, but not impressive.",Neutral
Thanks for the fast shipping on this earbuds!,Friendly
Fast delivery and the earbuds's comfort is decent.,Positive
This backpack is awesome! The usability is amazing.,Positive
The backpack is okay but could improve design.,Critical
Best monitor I've ever bought. Super frustrating.,Positive
"The headphones's durability is nice, and the seller was flimsy.",Friendly
Would be better if the monitor's battery life was improved.,Critical
Fast delivery and the camera's comfort is fantastic.,Positive
Fast delivery and the phone's usability is fantastic.,Positive
The jacket is okay. comfort is poor.,Neutral
"The cookware's battery life is nice, and the seller was disappointing.",Friendly
Highly recommend this cookware. poor performance!,Positive
The headphones is okay. usability is poor.,Neutral
This mouse has potential but is disappointing.,Critical
Highly recommend this earbuds. decent usability!,Positive
Would be better if the cookware's usability was improved.,Critical
Fast delivery and the cookware's durability is subpar.,Positive
This cookware has potential but is reliable.,Critical
Best watch I've ever bought. Super average.,Positive
Highly recommend this book. subpar sound!,Positive
Needs better usability for this earbuds.,Critical
The printer came with high packaging!,Friendly
Highly recommend this phone. subpar design!,Positive
Best phone I've ever bought. Super wonderful.,Positive
"No major issues with this tablet, but not impressive.",Neutral
The laptop is okay. comfort is terrible.,Neutral
The headphones is okay. battery life is decent.,Neutral
Really appreciate the service for this printer!,Friendly
